kdkab;nmkab;kec;desa;pddk;pddk_lk;pddk_pr;rjk;kpdtn;ruta;a_kerja;bekerja;nganggur;tpt;tpak;aps_7;aps_13;aps_16;aps_19;apk_sd;apk_smp;apk_sma;apm_sd;apm_smp;apm_sma;merokok;bpjs_pbi;bpjs_nonpbi;lantai_19;lantai_49;lantai_99;lantai_149;lantai_150;air_leding;air_pompa;air_kemasan;air_sumurterlindung;air_sumurtakterlindung;air_mataairlindung;air_mataairtdk;air_lainnya;listrik_pln;listrik_nonpln;listrik_lainnya;masak_lpg;masak_kayu;masak_lainnya;rumah_sendiri;rumah_kontrak;rumah_lainnya;lantai_bukantanah;lantai_tanah;sanitasi_layak;airminum_layak;pddk_miski;persen_miskin;kedalaman_miskin;keparahan_miskin;ginirasio;gk_miskin;ahh;rls;hls;pperkapita;ipm;ipg;idg;padi_luas;padi_prodvt;padi_prod;beras_prod;tegal_kebun;ladang_huma;tdk_diusahakan;konsumsi_m;konsumsi_nm;konsumsi_total;ikk;pdrb_adhb;pdrb_adhk;kontribusi_pdrb;laju_pdrb;pdrb_kapita_adhb;pdrb_kapita_adhk;laju_kapita
1;BUTON;7;95;117040;59141;57899;102.15;96.49;24160;45467;43313;2154;4.74;64.42;99.94;97.94;82.74;30.39;114.03;88.39;96.70;99.39;80.25;69.78;17.83;62.00;7.18;2.55;39.62;47.37;8.95;1.50;17.97;16.79;15.00;12.00;1.45;36.36;0.18;0.25;97.60;1.74;0.66;0.98;41.72;57.30;92.24;1.18;6.58;97.66;2.34;79.37;97.98;14.25;13.92;1.84;0.42;0.337;270212;68.39;7.92;13.76;7324;66.32;80.69;68.21;2171.14;36.32;7885.08;4504.92;8164;5452;2314;373565;293301;666866;106.92;3960.14;2847.09;2.85;2.62;33836;24326;0.61
2;MUNA;22;150;218956;107439;111517;96.34;113.91;48628;101116;96091;5025;4.97;66.50;98.39;96.88;82.98;27.33;109.74;87.05;95.22;98.12;82.19;73.40;17.62;49.60;12.15;1.83;38.85;45.40;9.27;4.64;11.43;8.25;16.96;39.62;5.07;12.30;0.54;5.84;96.00;3.69;0.31;8.49;53.39;38.12;91.45;0.59;7.97;97.93;2.07;79.85;92.10;30.54;13.54;1.90;0.39;0.331;368922;70.41;8.46;13.80;8218;69.17;87.76;65.32;931.15;36.14;3365.15;1922.60;25566;11814;15407;408404;342603;751006;99.87;7339.68;5229.55;5.28;3.18;33521;23884;1.16
3;KONAWE;29;368;261116;135086;126030;107.19;58.87;58268;126113;120368;5745;4.56;70.00;99.30;93.83;70.34;23.71;107.43;83.17;86.83;98.04;76.37;65.00;22.04;45.44;18.85;0.47;22.34;51.20;18.48;7.50;3.75;27.39;37.09;17.35;2.78;6.48;2.14;3.03;98.71;1.10;0.19;93.32;6.68;0.00;90.98;2.59;6.42;97.80;2.20;89.72;86.30;32.46;13.03;2.67;0.83;0.330;343781;70.32;9.21;13.01;10151;71.48;93.18;77.94;45825.46;38.52;176533.79;100857.44;17188;9828;23212;494466;516493;1010959;93.92;11370.36;7826.41;8.18;6.51;43545;29973;4.41
4;KOLAKA;12;135;241366;123149;118217;104.17;73.51;54479;137922;132930;4992;3.62;69.83;99.17;95.59;71.37;18.93;112.70;80.89;82.63;98.77;71.27;60.93;20.14;45.43;15.38;0.46;25.04;45.04;20.89;8.57;10.93;13.87;40.09;12.43;2.10;14.61;2.51;3.45;95.18;3.03;1.79;91.47;7.63;0.90;85.26;3.85;10.88;98.49;1.51;87.35;85.69;33.45;12.43;3.02;0.98;0.383;432858;71.21;8.99;12.83;12525;73.56;90.01;67.02;13602.59;48.25;65634.63;37498.43;15312;9128;3513;517507;556874;1074381;92.5;27328;18999.35;19.67;4.21;113222;78716;2.17
5;KONAWE SELATAN;25;351;312674;160461;152213;105.42;54.10;72661;166063;162512;3551;2.14;71.98;99.25;97.55;68.89;14.59;104.62;85.85;78.54;98.66;75.53;58.66;23.33;43.82;20.03;0.51;24.19;56.92;13.19;5.20;1.45;15.95;31.96;28.84;5.29;11.06;1.88;3.55;96.33;3.35;0.31;88.74;10.51;0.75;93.67;1.85;4.48;95.90;4.10;76.75;86.99;36.17;11.34;1.98;0.52;0.366;275339;70.87;8.11;12.37;9059;68.58;88.03;72.04;22705.43;36.94;83864.92;47913.80;39457;16420;19699;502296;522490;1024787;93.12;12600.88;8655.57;9.07;4.84;40300;27682;3.12
6;BOMBANA;22;145;151910;76766;75144;102.16;50.62;34376;96870;93802;3068;3.17;72.77;99.97;87.59;62.02;13.86;109.36;78.28;80.05;98.40;74.79;60.80;25.17;51.63;10.41;1.26;30.59;47.06;13.31;7.77;8.95;17.85;49.69;9.35;0.85;10.28;1.41;1.62;95.53;2.99;1.48;90.25;6.51;3.24;89.39;3.53;7.08;99.27;0.73;82.50;92.06;19.73;10.76;1.94;0.56;0.361;346726;69.09;8.04;11.85;8310;66.25;84.91;57.62;16520.52;48.76;80560.37;46025.83;20768;2700;11737;486017;488057;974074;97.4;6897.03;4873.72;4.96;3.50;45402;32083;2.55
7;WAKATOBI;8;100;113122;56634;56488;100.26;202.17;27031;52844;51630;1214;2.30;70.63;99.95;98.26;81.92;16.20;105.34;88.44;88.30;98.11;77.54;63.89;17.85;82.50;10.96;1.28;19.35;59.37;14.98;5.02;12.91;10.37;27.01;20.62;4.32;3.52;0.00;21.24;96.14;3.64;0.21;10.51;34.81;54.68;89.01;0.59;10.40;99.65;0.35;84.99;94.22;15.30;14.91;2.37;0.52;0.335;302511;70.48;8.16;13.51;9280;69.87;88.99;79.86;0.00;0.00;0.00;0.00;3898;214;7708;478114;402502;880615;106.09;4708.75;3220.93;3.39;4.02;41625;28473;2.04
8;KOLAKA UTARA;15;133;139234;71177;68057;104.58;41.05;32070;89934;87070;2864;3.18;79.76;99.45;89.15;55.98;24.69;111.78;87.87;66.16;97.99;74.19;53.36;24.23;38.79;19.80;1.53;20.21;46.34;21.65;10.26;29.71;3.66;33.03;1.21;0.32;21.80;10.27;0.00;91.77;7.02;1.21;97.10;2.90;0.00;87.42;1.20;11.38;99.56;0.44;86.18;87.02;21.36;13.79;2.52;0.68;0.356;506903;70.36;8.22;12.15;10244;69.50;97.79;64.54;1002.62;40.12;4022.68;2298.24;3434;1422;56;597024;621229;1218254;94.64;9165.73;6525.45;6.60;2.66;65830;46867;1.24
9;BUTON UTARA;6;90;67714;34586;33128;104.40;36.31;14375;33261;32262;999;3.00;75.63;99.32;96.44;82.21;18.12;106.35;105.20;69.88;98.08;83.55;56.73;20.22;73.22;10.32;0.97;42.88;39.78;9.79;6.59;11.58;7.95;34.79;25.04;2.60;14.28;0.39;3.37;94.61;3.81;1.58;11.43;23.22;65.35;90.49;2.17;7.34;99.01;0.99;69.43;91.84;9.45;14.89;2.46;0.61;0.370;355288;70.93;8.93;12.92;7496;68.08;91.99;75.55;838.21;36.46;3056.53;1746.28;15284;14881;11204;424836;412053;836889;104.98;3420.72;2342.59;2.46;4.08;50517;34595;2.04
10;KONAWE UTARA;13;172;68950;35636;33314;106.97;13.51;14843;32552;31457;1095;3.36;70.60;99.07;93.02;75.01;23.61;111.20;91.61;86.74;99.07;80.56;54.40;23.16;68.82;11.72;0.48;25.07;49.81;17.13;7.51;0.00;1.07;40.90;8.27;6.90;38.22;3.80;0.84;99.84;0.00;0.16;95.97;3.04;0.99;88.13;2.90;8.96;98.27;1.73;76.58;81.06;9.26;14.32;2.40;0.63;0.399;321986;69.53;9.30;13.08;9181;70.23;86.66;69.04;2076.50;36.82;7645.56;4368.08;32084;84278;21534;615563;628998;1244561;94.94;4263.39;2957.84;3.07;4.59;61833;42898;2.54
